,Unnamed: 0_level_0,Invoice information,Invoice information,Invoice information,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Standing charges,Standing charges,Site charges,Site charges,Distribution availability charge,Distribution availability charge,Distribution availability charge,Distribution fixed charge,Distribution fixed charge,Distribution fixed charge,Data collection,Data collection,Data collection,Settlement agency,Settlement agency,Settlement agency,Network Usage,Network Usage,Network Usage,Network Usage,Network Usage,Carbon Tax,Carbon Tax,Carbon Tax,Reactive power,Reactive power,Reactive power,Reconciliation,VAT,Total Charge (£),Total Charge (£),Total Charge (£),Total Charge (£)
,Unnamed: 0_level_1,start_date,end_date,mpan,Amber - Charge (£),Amber - Charge rate (£/kWh),Amber - Consumption (kWh),Green - Charge (£),Green - Charge rate (£/kWh),Green - Consumption (kWh),Red - Charge (£),Red - Charge rate (£/kWh),Red - Consumption (kWh),Day - Charge (£),Day - Charge rate (£/kWh),Day - Consumption (kWh),Night - Charge (£),Night - Charge rate (£/kWh),Night - Consumption (kWh),Charge rate (£/Days),Charge (£),Charge rate (£/Days),Charge (£),Charge rate (£/kVA),Charge (£),Consumption (kVA),Charge rate (£/Days),Charge (£),Consumption (Days),Charge rate (£/Days),Charge (£),Consumption (Days),Charge rate (£/kVA),Charge (£),Consumption (kVA),Forecast TRIAD,MD%,Consumption (kW),Charge rate (£/kW),Charge (£),Charge rate (£/kWh),Consumption (kWh),Charge (£),Charge rate (£/kW),Charge (£),Consumption (kW),Charge (£),Charge (£),Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1
32,32,2022-09-01,2022-09-30,5647,393.21,0.00336,117026.6,51.98,0.00034,152868.8,507.9,0.01763,28808.8,34071.59,0.145738,233786.57,8550.39,0.118845,71945.73,0.657534,19.73,0.07286,2.19,0.528,1137.84,2155.0,272.4772,8174.32,30.0000146801274,1.3643836,40.93,29.9988947389869,0.02302,0.69,29.9739357080799,-,85.00%,133.32,51.83943,6911.23,0.00775,"268,833.78",2083.46,0.00043,6.46,15023.2558139535,0.0,11492.35,73444.27,,,
33,33,2023-09-01,2023-09-30,5647,355.52,0.00419,84849.2,29.93,0.00059,50729.9,351.92,0.01652,21302.6,28231.35,0.201378,140190.82,3254.92,0.159429,20416.09,0.657534,19.73,0.072661,2.18,0.564,1215.42,2155.0,235.4806,7064.42,30.0000084932687,1.3643836,40.93,29.9988947389869,0.02302,0.69,29.9739357080799,0.0,0.0,0.0,0.0,0.0,0.00775,"141,193.53",1094.25,0.0004,0.97,2425.0,2358.65,8824.85,52845.73,,,
34,34,2023-09-01,2023-09-30,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.86,0.256655,1016.4,0.0,0.0,0.0,0.320499,9.61,0.086501,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,13.66,30.0087873462214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775,"1,016.4",7.88,0.0,0.0,0.0,8.13,57.3,360.04,,,
35,35,2023-09-01,2023-09-30,1928,66.1,0.00642,10295.9,14.31,0.00091,15727.4,73.22,0.02458,2978.7,4488.64,0.203025,22108.78,1282.68,0.157119,8163.72,0.657534,19.73,0.072661,2.18,0.468,63.18,135.0,5.3465,160.4,30.0009351912466,0.6821918,20.47,30.0062240560499,0.02302,0.69,29.9739357080799,0.0,0.0,0.0,0.0,0.0,0.00775,"29,002",224.77,0.0,0.0,0.0,199.35,1279.92,7895.64,,,
36,36,2023-10-01,2023-10-31,1928,66.59,0.00642,10372.7,14.3,0.00091,15717.1,71.67,0.02458,2915.6,4460.79,0.203025,21971.63,1304.85,0.157119,8304.82,0.657534,20.38,0.072661,2.25,0.4836,65.29,135.008271298594,5.3465,165.74,30.999719442626,0.6821918,21.15,31.0030111766222,0.02302,0.71,30.8427454387489,0.0,0.0,0.0,0.0,0.0,0.00775,"29,005.4",224.79,0.0,0.0,0.0,214.33,1278.58,7911.42,,,
37,37,2023-10-01,2023-10-31,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.21,0.256655,1048.9,0.0,0.0,0.0,0.320499,9.94,0.086501,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,30.9973637961336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775,"1,048.9",8.13,0.0,0.0,0.0,9.05,59.01,372.13,,,
38,38,2023-10-01,2023-10-31,5647,318.12,0.00419,75922.5,26.94,0.00059,45652.8,259.58,0.01652,15713.0,25889.82,0.201378,128563.3,1912.58,0.159429,11996.44,0.657534,20.38,0.072661,2.25,0.5828,1255.93,2154.99313658202,235.4806,7299.9,31.0000059452881,1.3643836,42.3,31.0030111766222,0.02302,0.71,30.8427454387489,0.0,0.0,0.0,0.0,0.0,0.00775,"123,559.47",957.59,0.0004,2.7,6750.0,1669.36,8322.0,47980.16,,,
39,39,2023-11-01,2023-11-30,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.34,0.256655,1088.4,0.0,0.0,0.0,0.320499,9.61,0.086501,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,13.66,30.008787346221443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775,"1,088.4",8.44,0.0,0.0,0.0,8.04,61.12,,382.81,,
40,40,2023-11-01,2023-11-30,1928,74.46,0.00642,11597.5,15.6,0.00091,17146.7,81.5,0.02458,3315.9,4904.61,0.203025,24157.65,1462.42,0.157119,9307.73,0.657534,19.73,0.072661,2.18,0.468,63.18,135.0,5.3465,160.4,30.00093519124661,0.6821918,20.47,30.006224056049923,0.02302,0.69,29.973935708079928,0.0,0.0,0.0,0.0,0.0,0.00775,"32,060.1",248.47,0.00065,0.02,30.76923076923077,200.08,1407.25,,8661.06,,
41,41,2023-11-01,2023-11-30,5647,509.35,0.00419,121563.8,37.52,0.00059,63593.1,544.29,0.01652,32947.5,38348.81,0.201378,190431.98,5313.37,0.159429,33327.52,0.657534,19.73,0.072661,2.18,0.564,1215.42,2155.0000000000005,235.4806,7064.42,30.00000849326866,1.3643836,40.93,29.99889473898689,0.02302,0.69,29.973935708079928,0.0,0.0,0.0,0.0,0.0,0.00775,"196,293.96",1521.28,0.0004,2.46,6150.0,943.84,11490.28,,67054.57,,
